Red,Green,Blue
246,36,0
145,35,128
10,166,190
12,169,71
112,50,88
203,97,171
233,102,98
160,133,14
76,239,115
13,27,127
22,255,66
170,197,117
21,51,182
34,149,154
179,10,14
60,89,127
164,223,176
118,100,142
69,38,196
2,165,206
192,145,215
165,235,24
91,195,100
113,98,174
69,26,75
173,69,81
116,189,129
33,238,154
147,152,69
243,164,106
178,147,168
127,249,212
219,22,142
187,82,234
134,101,158
236,237,8
100,247,253
126,87,214
11,92,152
176,50,161
232,14,129
82,188,56
119,190,208
186,165,88
76,160,170
20,185,56
59,53,249
36,178,79
173,203,83
5,122,233
38,212,115
156,87,217
56,255,137
192,100,26
169,101,45
98,176,139
89,250,231
66,175,163
150,94,224
85,115,93
120,27,215
191,163,148
205,113,66
86,23,191
96,116,2
235,163,47
96,58,211
80,208,70
242,214,159
79,102,140
160,250,91
245,204,82
173,15,239
235,54,119
162,10,210
224,176,55
94,127,66
177,21,132
154,253,41
69,85,101
188,46,45
224,157,180
31,178,192
107,119,69
97,108,93
115,177,124
37,209,58
251,255,130
255,103,71
87,218,206
149,87,197
152,32,233
217,98,124
108,3,134
119,151,51
250,161,83
13,71,195
82,148,235
200,5,26
213,15,136

